                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
27/06/13  6:45a   11.6   11.7   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.6   11.6   11.6   10.2  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2290     0.00   117    1    100.0    5 
27/06/13  6:50a   11.6   11.6   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.6   11.6   11.6   10.2  1016.7  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2291     0.00   117    1    100.0    5 
27/06/13  6:55a   11.6   11.6   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.6   11.6   11.6   10.2  1016.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2292     0.00   117    1    100.0    5 
27/06/13  7:00a   11.6   11.6   11.6    85    9.2   0.0   ---   0.00   0.0   ---   11.6   11.6   11.6   10.2  1016.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   11.9    83    9.1   11.8  17.48 1.2293     0.00   118    1    100.0    5 
27/06/13  7:05a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1016.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.9    83    9.1   11.8  17.48 1.2294     0.00   117    1    100.0    5 
27/06/13  7:10a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1017.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.8    83    9.0   11.7  17.49 1.2297     0.00   117    1    100.0    5 
27/06/13  7:15a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1016.9  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.9    83    9.1   11.8  17.48 1.2294     0.00   117    1    100.0    5 
27/06/13  7:20a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1017.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.8    83    9.0   11.7  17.49 1.2297     0.00   117    1    100.0    5 
27/06/13  7:25a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1017.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.8    83    9.0   11.7  17.49 1.2298     0.00   117    1    100.0    5 
27/06/13  7:30a   11.6   11.6   11.6    85    9.1   0.0   ---   0.00   0.0   ---   11.6   11.5   11.5   10.2  1017.0  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.024   0.000   11.8    83    9.0   11.7  17.49 1.2298     0.00   117    1    100.0    5 
